representacion_pais_descripcion;representacion_pais_iso;representacion_descripcion;representacion_circunscripcion;representacion_ciudad_descripcion;representacion_provincia_descripcion;representacion_direccion;representacion_email;representacion_pagina_web;representacion_horario_atencion;representacion_cuidad_codigo_tel;representacion_telefono;representacion_fax;representacion_telefax;;;;;
Albania;AL;Consulado Honorario  de ALBANIA en Villa Carlos Paz;    VACANTE;Villa Carlos Paz;Córdoba;;;;;3541;;;;;;;;
Alemania;DE;Consulado Honorario  de ALEMANIA en Córdoba; Provincia de Córdoba ;Córdoba;Córdoba;Eliseo Cantón 1870;;;;351;;;489-0900;;;;;
Alemania;DE;Consulado Honorario  de ALEMANIA en El Dorado;Los departamentos de la Provincia de Misiones de: El Dorado, Guaraní, Iguazú, Gral. Manuel Belgrano, Montecarlo y San Pedro.;El Dorado;Misiones;San Juan 1595 - PB;;;;3751;423-214;423-214;;;;;;
Alemania;DE;Consulado Honorario  de ALEMANIA en Mendoza; Provincias de Mendoza, San Juan y San Luis ;Mendoza;Mendoza;Peatonal Sarmiento N° 165/199;;;;261;4201077;;;;;;;
Alemania;DE;Consulado Honorario  de ALEMANIA en Posadas;"  Los departamentos de la Provincia de Misiones de: Apóstoles, Cainguás, Candelaria, Capital, Concepción, Leandro N. Alem, Libertador Gral. San Martín, Oberá, San Ignacio, San Javier y 25 de Mayo; y los departamentos de la Provincia de Corrientes de: Gral.  ";Posadas;Misiones;Junín 1811 P 2 of 1;;;;3752;443-5508//443-0570;;;;;;;
Alemania;DE;Consulado Honorario  de ALEMANIA en Salta; Provincias de Jujuy y Salta ;Salta;Salta;Caseros N°1874;;;;387;422-9088//492-1184;;;;;;;
Alemania;DE;Consulado Honorario  de ALEMANIA en San Carlos de Bariloche;"Los departamentos de la Provincia de Chubut de: Cushamen, Futaleufú, Gastres, Languiñeo, Paso de Indios y Tehuelches; la Provincia de Neuquén; y los departamentos de la Provincia de Río Negro de: Bariloche, El Cuy, General Roca, 9 de Julio, Ñorquinco, Pil";San Carlos de Bariloche;Rio Negro;Morales 460;;;;2944;425-695;;;;;;;
Alemania;DE;Consulado Honorario  de ALEMANIA en San Miguel de Tucumán;  Provincias de Catamarca y Tucumán.  ;San Miguel de Tucumán;Tucuman;Remedios de Escalada N° 650. Yerba Buena;;;;381;42-5528;;;;;;;
Alemania;DE;Consulado Honorario  de ALEMANIA en Ushuaia; Provincia de Tierra del Fuego y los departamentos de la Provincia de Santa Cruz de: Güer Aike, Lago Argentino, Carpen Aike y Magallanes. ;Ushuaia;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Marcos Zar 1338;;;;2901;42-2851//42-2868;;;;;;;
Alemania;DE;Embajada de ALEMANIA;;Ciudad Autónoma de Buenos Aires;Buenos Aires;Villanueva 1055;;www.buenos-aires.diplo.de;;11;4778-2500;;4778-2550;;;;;
